Time start,Time stop,Organic,Sulfate,Ammonium,Nitrate,Chloride
9/28/14 1:04,9/28/14 1:07,11.6433,3.28772,0.926107,0.136523,0.0193194
9/28/14 1:12,9/28/14 1:15,11.6967,3.15034,0.870308,0.130603,0.0168613
9/28/14 1:20,9/28/14 1:23,12.7514,3.52515,0.950508,0.160096,0.0206414
9/28/14 1:28,9/28/14 1:31,12.2316,3.19508,0.881867,0.148537,0.0214546
9/28/14 1:36,9/28/14 1:39,12.6303,3.28534,0.908417,0.176241,0.0200749
9/28/14 1:44,9/28/14 1:47,13.2087,3.3041,0.918881,0.187043,0.0275258
9/28/14 1:52,9/28/14 1:55,13.6243,3.30103,0.914919,0.223229,0.0291942
9/28/14 2:00,9/28/14 2:03,12.9581,3.20858,0.900677,0.207917,0.0270877
9/28/14 2:08,9/28/14 2:11,14.311,3.4591,0.937812,0.258922,0.0306985
9/28/14 2:16,9/28/14 2:19,13.9109,3.2497,0.886442,0.245239,0.0304701
9/28/14 2:24,9/28/14 2:27,13.3743,3.37824,0.921429,0.223073,0.0260346
9/28/14 2:32,9/28/14 2:35,14.0127,3.6046,0.984302,0.240961,0.0298842
9/28/14 2:40,9/28/14 2:43,12.2901,3.1605,0.823385,0.189328,0.0219023
9/28/14 2:48,9/28/14 2:51,13.3581,3.29185,0.88084,0.257324,0.0289982
9/28/14 2:56,9/28/14 2:59,12.3409,3.35356,0.893612,0.184407,0.0232229
9/28/14 3:04,9/28/14 3:07,12.0843,3.15671,0.859831,0.216188,0.0295419
9/28/14 3:12,9/28/14 3:15,13.1355,3.22278,0.894876,0.212034,0.0276935
9/28/14 3:20,9/28/14 3:23,13.5926,3.46343,0.953503,0.265634,0.0298894
9/28/14 3:28,9/28/14 3:31,13.6089,3.19038,0.840662,0.211448,0.0278497
9/28/14 3:36,9/28/14 3:39,14.1026,3.40106,0.928478,0.312093,0.0442916
9/28/14 3:44,9/28/14 3:47,13.8318,3.33072,0.958163,0.208177,0.0280789
9/28/14 3:52,9/28/14 3:55,13.6819,3.23426,0.924303,0.213098,0.0271077
9/28/14 4:40,9/28/14 4:43,13.2541,3.01763,0.865907,0.234502,0.0262041
9/28/14 4:48,9/28/14 4:51,13.1503,2.97118,0.901857,0.206599,0.0297453
9/28/14 4:56,9/28/14 4:59,14.9261,3.21538,0.949381,0.242444,0.0344445
9/28/14 5:04,9/28/14 5:07,15.17,2.99992,0.86622,0.24606,0.027848
9/28/14 5:12,9/28/14 5:15,15.1994,2.9969,0.865878,0.243046,0.0254344
9/28/14 5:20,9/28/14 5:23,15.7231,3.32,0.988863,0.271443,0.0312991
9/28/14 5:28,9/28/14 5:31,15.3572,3.15432,0.952975,0.267739,0.0281729
9/28/14 5:36,9/28/14 5:39,15.9058,3.1936,0.89325,0.286889,0.0312379
9/28/14 5:44,9/28/14 5:47,15.8039,3.24787,0.946254,0.279762,0.0345493
9/28/14 5:52,9/28/14 5:55,15.5412,3.02674,0.906111,0.249763,0.0301856
9/28/14 6:00,9/28/14 6:03,14.3584,2.9974,0.851895,0.190779,0.0285995
